season,fullName,SumRuns,TotalBalls,AvgRuns,TotalMatches,HS,Fours,Sixes,StrikeRate,Hundred,Fifty
2020,Priyam Garg,133,111,13.3,10,51,9,4,119.81981981981981,0,1
2019,Rahul Tripathi,141,118,20.142857142857142,7,50,13,2,119.4915254237288,0,1
2019,Trent Boult,7,4,2.3333333333333335,3,6,0,1,175.0,0,0
2015,David Wiese,122,86,17.428571428571427,7,47,12,4,141.86046511627907,0,0
2013,Robin Uthappa,434,371,27.125,16,75,42,12,116.98113207547169,0,2
2013,Albie Morkel,46,37,15.333333333333334,3,23,2,3,124.32432432432432,0,0
2012,Kumar Sangakkara,200,184,16.666666666666668,12,82,21,4,108.69565217391303,0,1
2011,Daniel Christian,190,159,14.615384615384615,13,30,9,7,119.49685534591194,0,0
2011,Abhishek Nayar,61,67,6.777777777777778,9,17,9,0,91.04477611940298,0,0
2010,Rahul Sharma,29,26,7.25,4,14,3,1,111.53846153846155,0,0
2022,Shikhar Dhawan,460,375,32.857142857142854,14,88,47,12,122.66666666666666,0,3
2022,Narayan Jagadeesan,40,37,20.0,2,39,3,1,108.10810810810811,0,0
2021,Venkatesh Iyer,370,288,37.0,10,67,37,14,128.47222222222223,0,4
2019,Krishnappa Gowtham,18,19,4.5,4,9,1,1,94.73684210526315,0,0
2016,Farhaan Behardien,14,13,4.666666666666667,3,9,2,0,107.6923076923077,0,0
2016,Imran Tahir,5,7,5.0,1,5,1,0,71.42857142857143,0,0
2015,Axar Patel,206,174,17.166666666666668,12,40,13,8,118.39080459770115,0,0
2015,Karn Sharma,104,85,11.555555555555555,9,32,3,6,122.3529411764706,0,0
2013,David Warner,410,323,25.625,16,77,41,14,126.93498452012383,0,4
2013,Andre Russell,11,14,5.5,2,7,0,0,78.57142857142857,0,0
2013,Hanuma Vihari,241,278,14.176470588235293,17,46,17,1,86.6906474820144,0,0
2012,Harpreet Singh,6,6,6.0,1,6,0,0,100.0,0,0
2011,Amit Singh,1,4,0.5,2,1,0,0,25.0,0,0
2018,Yusuf Pathan,260,200,20.0,13,45,22,11,130.0,0,0
2017,Hardik Pandya,250,160,15.625,16,35,11,20,156.25,0,0
2016,Karn Sharma,36,30,12.0,3,26,3,1,120.0,0,0
2013,Irfan Pathan,142,152,10.923076923076923,13,24,9,3,93.42105263157895,0,0
2012,Harbhajan Singh,108,80,9.818181818181818,11,33,14,3,135.0,0,0
2011,Rohit Sharma,372,297,26.571428571428573,14,87,32,13,125.25252525252526,0,3
2010,Shane Warne,10,19,1.4285714285714286,7,4,0,0,52.63157894736842,0,0
2010,Sumit Narwal,14,12,4.666666666666667,3,12,2,0,116.66666666666667,0,0
2010,Shalabh Srivastava,1,2,0.5,2,1,0,0,50.0,0,0
2021,Ravichandran Ashwin,44,42,8.8,5,20,2,1,104.76190476190477,0,0
2021,Nicholas Pooran,85,76,7.7272727272727275,11,32,3,5,111.8421052631579,0,0
2020,Sanju Samson,375,236,26.785714285714285,14,85,21,26,158.89830508474577,0,3
2019,Jonny Bairstow,445,283,44.5,10,114,48,18,157.24381625441697,1,3
2019,Wriddhiman Saha,86,53,17.2,5,28,13,1,162.26415094339623,0,0
2016,Ashish Nehra,1,1,0.5,2,1,0,0,100.0,0,0
2014,Dwayne Bravo,8,3,8.0,1,8,0,1,266.66666666666663,0,0
2014,Andre Russell,2,8,1.0,2,1,0,0,25.0,0,0
2013,Manvinder  Bisla,255,236,18.214285714285715,14,92,36,6,108.05084745762711,0,2
2012,Laxmi Shukla,75,57,9.375,8,26,4,5,131.57894736842107,0,0
2011,Pinal Shah,5,5,5.0,1,5,1,0,100.0,0,0
2010,Shane Bond,1,2,1.0,1,1,0,0,50.0,0,0
2010,Andrew McDonald,65,52,21.666666666666668,3,33,3,2,125.0,0,0
2022,Virat Kohli,341,294,21.3125,16,73,32,8,115.98639455782313,0,2
2020,Isuru Udana,15,11,3.75,4,10,1,1,136.36363636363635,0,0
2019,AB de Villiers,442,287,34.0,13,82,31,26,154.00696864111498,0,5
2019,Colin Ingram,184,154,15.333333333333334,12,47,20,5,119.48051948051948,0,0
2018,Rishabh Pant,684,394,48.857142857142854,14,128,68,37,173.60406091370558,1,6
2016,Ashish Reddy,47,29,15.666666666666666,3,32,2,4,162.06896551724137,0,0
2012,S Badrinath,196,181,21.77777777777778,9,57,23,2,108.28729281767954,0,1
2011,Ajinkya Rahane,120,98,17.142857142857142,7,52,12,2,122.44897959183673,0,1
2010,Ramesh Powar,5,8,2.5,2,3,0,0,62.5,0,0
2022,Shubman Gill,483,365,30.1875,16,96,51,11,132.32876712328766,0,4
2022,Sanjay Yadav,0,2,0.0,1,0,0,0,0.0,0,0
2021,Khaleel Ahmed,1,2,1.0,1,1,0,0,50.0,0,0
2016,Praveen Kumar,24,26,3.4285714285714284,7,15,3,0,92.3076923076923,0,0
2015,Harshal Patel,19,12,2.7142857142857144,7,9,0,2,158.33333333333331,0,0
2015,Unmukt Chand,102,83,20.4,5,58,13,2,122.89156626506023,0,1
2014,Mitchell Johnson,56,50,7.0,8,16,4,3,112.00000000000001,0,0
2012,Marlon Samuels,124,123,15.5,8,46,7,5,100.8130081300813,0,0
2010,Adam Gilchrist,289,185,18.0625,16,54,31,16,156.21621621621622,0,1
2010,Aditya Tare,50,36,12.5,4,23,5,3,138.88888888888889,0,0
2022,Axar Patel,182,120,18.2,10,42,12,10,151.66666666666666,0,0
2017,Mandeep Singh,188,177,18.8,10,52,21,4,106.21468926553672,0,1
2016,Mitchell Marsh,7,11,7.0,1,7,0,0,63.63636363636363,0,0
2014,Zaheer Khan,8,7,2.0,4,7,0,1,114.28571428571428,0,0
2013,Manprit Juneja,125,128,17.857142857142858,7,49,11,1,97.65625,0,0
2013,Moises Henriques,165,125,18.333333333333332,9,44,20,3,132.0,0,0
2011,Brett Lee,5,9,1.25,4,2,0,0,55.55555555555556,0,0
2010,Suresh Raina,520,364,32.5,16,83,45,22,142.85714285714286,0,4
2010,Muttiah Muralitharan,1,2,1.0,1,1,0,0,50.0,0,0
2021,Ripal Patel,25,27,12.5,2,18,3,0,92.5925925925926,0,0
2021,Sanju Samson,484,354,34.57142857142857,14,119,45,17,136.72316384180792,1,3
2021,Jagadeesha Suchith,14,6,14.0,1,14,2,1,233.33333333333334,0,0
2020,Kedar Jadhav,62,66,12.4,5,26,7,0,93.93939393939394,0,0
2020,Deepak Chahar,7,12,2.3333333333333335,3,5,0,0,58.333333333333336,0,0
2017,Tymal Mills,8,11,2.6666666666666665,3,6,0,1,72.72727272727273,0,0
2017,Naman Ojha,79,65,15.8,5,34,2,3,121.53846153846153,0,0
2016,Ajinkya Rahane,480,379,34.285714285714285,14,74,54,9,126.6490765171504,0,6
2016,Shikhar Dhawan,501,429,29.470588235294116,17,82,51,8,116.78321678321679,0,4
2011,Dwaraka Ravi Teja,183,144,20.333333333333332,9,60,17,4,127.08333333333333,0,1
2010,Manish Pandey,249,226,19.153846153846153,13,42,27,7,110.17699115044249,0,0
2010,Shaun Marsh,147,114,36.75,4,88,14,6,128.94736842105263,0,2
2022,Abhishek Sharma,426,320,30.428571428571427,14,75,47,13,133.125,0,2
2022,Anrich Nortje,1,6,1.0,1,1,0,0,16.666666666666664,0,0
2021,Sunil Narine,62,47,6.2,10,26,3,5,131.91489361702128,0,0
2021,Manish Pandey,292,236,36.5,8,69,21,10,123.72881355932203,0,3
2019,David Warner,692,481,57.666666666666664,12,100,57,21,143.86694386694387,1,9
2019,KL Rahul,593,438,42.357142857142854,14,100,49,25,135.3881278538813,1,7
2017,Robin Uthappa,388,235,29.846153846153847,13,87,36,21,165.1063829787234,0,5
2017,Ankit Soni,7,9,2.3333333333333335,3,7,0,1,77.77777777777779,0,0
2016,Glenn Maxwell,179,124,16.272727272727273,11,68,14,8,144.35483870967744,0,2
2016,Thisara Perera,150,93,15.0,10,34,7,11,161.29032258064515,0,0
2013,Ambati Rayudu,265,231,15.588235294117647,17,37,22,4,114.7186147186147,0,0
2012,Zaheer Khan,12,17,2.4,5,11,1,0,70.58823529411765,0,0
2011,Albie Morkel,138,102,10.615384615384615,13,30,8,8,135.29411764705884,0,0
2011,Prasanth Parameswaran,1,1,1.0,1,1,0,0,100.0,0,0
2021,Ben Stokes,0,3,0.0,1,0,0,0,0.0,0,0
2018,Marcus Stoinis,99,76,14.142857142857142,7,29,6,4,130.26315789473685,0,0
2015,Yuvraj Singh,248,210,19.076923076923077,13,57,23,10,118.0952380952381,0,2
2014,Jean-Paul Duminy,410,305,29.285714285714285,14,67,22,20,134.4262295081967,0,2
2012,Brad Hodge,245,175,20.416666666666668,12,48,18,9,140.0,0,0
2011,Parthiv Patel,202,183,15.538461538461538,13,37,25,2,110.38251366120218,0,0
2022,Robin Uthappa,230,171,20.90909090909091,11,88,19,14,134.5029239766082,0,2
2022,Jasprit Bumrah,0,8,0.0,6,0,0,0,0.0,0,0
2022,Akash Deep,0,2,0.0,1,0,0,0,0.0,0,0
2018,Abhishek Sharma,63,33,21.0,3,46,3,5,190.9090909090909,0,0
2017,Zaheer Khan,4,13,1.3333333333333333,3,2,0,0,30.76923076923077,0,0
2017,Ishant Sharma,8,12,2.6666666666666665,3,5,1,0,66.66666666666666,0,0
2016,Shane Watson,179,134,11.933333333333334,15,36,14,12,133.5820895522388,0,0
2013,Mayank Agarwal,67,62,13.4,5,29,6,3,108.06451612903226,0,0
2013,Bhuvneshwar Kumar,52,71,5.777777777777778,9,24,3,1,73.23943661971832,0,0
2013,Wayne Parnell,5,7,5.0,1,5,0,0,71.42857142857143,0,0
2011,Iqbal Abdulla,15,12,7.5,2,12,1,0,125.0,0,0
2011,Siddharth Trivedi,0,2,0.0,2,0,0,0,0.0,0,0
