season,fullName,TotalWickets,Overs,RunsConceded,AvgWickets,TotalMatches,MaxWickets,FoursConceded,SixesConceded,AvgEconomyRate,AvgRate,StrRate
2020,Krunal Pandya,6,50,380,0.375,16,2,27,11,7.828125,63.333333333333336,50.0
2020,Marcus Stoinis,13,29,283,1.0,13,3,23,14,9.19384611569918,21.76923076923077,13.384615384615385
2016,Ravichandran Ashwin,10,44,319,0.7142857142857143,14,4,22,10,7.612857137407575,31.9,26.4
2016,Mitchell McClenaghan,17,52,436,1.2142857142857142,14,4,47,16,8.20214285169329,25.647058823529413,18.352941176470587
2016,Harbhajan Singh,9,49,392,0.6428571428571429,14,2,28,16,8.112857137407575,43.55555555555556,32.666666666666664
2016,Ravindra Jadeja,8,39,311,0.5714285714285714,14,2,16,14,8.490714277539935,38.875,29.25
2014,Bhuvneshwar Kumar,20,52,354,1.4285714285714286,14,4,42,8,6.77642856325422,17.7,15.6
2011,Anand Rajan,3,5,50,1.5,2,3,3,4,10.25,16.666666666666668,10.0
2010,Justin Kemp,3,7,54,0.6,5,3,6,1,8.58400001525879,18.0,14.0
2008,Laxmi Shukla,6,11,124,0.6666666666666666,9,3,10,4,10.553333282470703,20.666666666666668,11.0
2021,Kyle Jamieson,9,28,269,1.0,9,3,27,14,10.04444440205892,29.88888888888889,18.666666666666668
2021,Riley Meredith,4,16,169,0.8,5,1,19,7,10.241999912261964,42.25,24.0
2020,Imran Tahir,1,11,76,0.3333333333333333,3,1,3,3,6.9433333079020185,76.0,66.0
2016,Parvez Rasool,1,14,129,0.25,4,1,14,4,9.414999961853027,129.0,84.0
2013,Ravi Rampaul,13,37,261,1.3,10,3,20,12,7.067999982833863,20.076923076923077,17.076923076923077
2011,Shalabh Srivastava,8,20,186,1.3333333333333333,6,2,21,6,9.151666641235352,23.25,15.0
2008,RP Singh,15,50,442,1.0714285714285714,14,3,56,11,8.42571428843907,29.466666666666665,20.0
2021,Ishant Sharma,1,12,97,0.3333333333333333,3,1,7,5,8.083333333333334,97.0,72.0
2017,Sunil Narine,10,59,412,0.6666666666666666,15,2,41,6,7.071999994913737,41.2,35.4
2017,T Natarajan,2,12,115,0.3333333333333333,6,1,9,5,9.914999961853027,57.5,36.0
2013,Ashish Reddy,3,6,70,0.6,5,1,7,3,11.9,23.333333333333332,12.0
2022,Harshal Patel,19,53,410,1.2666666666666666,15,4,26,20,7.626666641235351,21.57894736842105,16.736842105263158
2017,Deepak Hooda,2,4,42,0.6666666666666666,3,1,3,3,11.0,21.0,12.0
2015,Ravichandran Ashwin,10,39,228,0.7692307692307693,13,2,12,10,7.159999994131235,22.8,23.4
2015,Sandeep Sharma,13,50,350,0.9285714285714286,14,4,39,10,6.969999994550433,26.923076923076923,23.076923076923077
2015,KC Cariappa,1,2,28,1.0,1,1,3,2,14.0,28.0,12.0
2014,Pragyan Ojha,4,46,380,0.3333333333333333,12,2,20,22,8.450833320617676,95.0,69.0
2012,Manpreet Gony,3,24,207,0.5,6,1,16,12,8.625,69.0,48.0
2012,Bhargav Bhatt,2,16,136,0.4,5,2,13,4,8.228000068664551,68.0,48.0
2012,Shaun Tait,6,22,151,1.0,6,3,11,2,6.641666650772095,25.166666666666668,22.0
2012,Andre Russell,1,16,161,0.25,4,1,24,3,10.0625,161.0,96.0
2009,Manpreet Gony,5,17,172,0.7142857142857143,7,2,20,7,11.75,34.4,20.4
2009,Harmeet Singh,3,22,192,0.42857142857142855,7,2,19,6,9.46571431841169,64.0,44.0
2009,Chris Gayle,1,18,144,0.14285714285714285,7,1,7,4,9.28428568158831,144.0,108.0
2008,Vidyut Sivaramakrishnan,1,2,22,1.0,1,1,1,2,11.0,22.0,12.0
2021,Vijay Shankar,3,11,100,0.6,5,2,6,5,9.331999969482421,33.333333333333336,22.0
2020,Rahul Chahar,15,53,433,1.0,15,2,30,19,8.933333333333334,28.866666666666667,21.2
2015,Moises Henriques,11,25,158,1.2222222222222223,9,3,13,2,6.386666615804036,14.363636363636363,13.636363636363637
2012,Glenn Maxwell,1,3,22,0.5,2,1,1,1,8.5,22.0,18.0
2009,Anil Kumble,21,59,347,1.3125,16,5,18,8,5.9106250032782555,16.523809523809526,16.857142857142858
2009,Pradeep Sangwan,15,46,360,1.1538461538461537,13,3,31,13,7.956923044644869,24.0,18.4
2008,Umar Gul,12,22,184,2.0,6,4,17,5,8.261666615804037,15.333333333333334,11.0
2022,Mayank Markande,1,7,57,0.5,2,1,4,2,8.414999961853027,57.0,42.0
2016,Kuldeep Yadav,6,12,100,2.0,3,3,5,5,8.333333333333334,16.666666666666668,12.0
2016,Chris Gayle,2,10,63,0.5,4,2,3,2,5.832499980926514,31.5,30.0
2013,Bhargav Bhatt,1,5,32,0.5,2,1,4,0,6.25,32.0,30.0
2011,Ashok Dinda,5,16,152,1.0,5,2,19,5,8.447999954223633,30.4,19.2
2011,Yogesh Nagar,1,5,67,0.2,5,1,6,3,13.4,67.0,30.0
2011,Varun Aaron,2,12,82,0.6666666666666666,3,1,10,1,6.833333333333333,41.0,36.0
2010,Sudeep Tyagi,1,15,159,0.16666666666666666,6,1,16,8,11.321666717529297,159.0,90.0
2009,Rohan Raje,1,6,72,0.25,4,1,8,2,11.332499980926514,72.0,36.0
2009,Vikram Singh,1,9,82,0.25,4,1,8,3,9.6875,82.0,54.0
2014,Zaheer Khan,5,21,146,0.8333333333333334,6,2,14,4,6.541666666666667,29.2,25.2
2013,Adam Gilchrist,1,0,0,1.0,1,1,0,0,0.0,0.0,0.0
2011,Chris Gayle,8,36,244,0.6666666666666666,12,3,12,10,6.964166661103566,30.5,27.0
2008,Dale Steyn,10,38,252,1.0,10,3,29,5,7.125,25.2,22.8
