fullName,Matches,TotalMatches,NO,SumRuns,HS,AvgRuns,TotalBalls,StrikeRate,Hundred,Fifty,fours,sixes,AvgSR
Faf Du Plessis,10,10,1,511,84,56.78,324,157.71,0,5,40,29,8954.774
Devon Conway,11,10,2,458,92,57.25,329,139.2,0,5,54,13,7969.1997
Yashasvi Jaiswal,10,10,0,442,124,44.2,279,158.42,1,3,57,19,7002.164
Virat Kohli,10,10,1,419,82,46.56,310,135.16,0,6,39,11,6293.05
Ruturaj Gaikwad,11,10,1,384,92,42.67,259,148.26,0,2,27,21,6326.254
Shubman Gill,10,10,0,375,67,37.5,276,135.86,0,3,47,6,5094.75
David Warner,10,10,0,330,65,33.0,274,120.43,0,4,47,2,3974.19
Rinku Singh,10,10,4,316,58,52.67,213,148.35,0,2,19,20,7813.5947
Kyle Mayers,10,10,0,311,73,31.1,204,152.45,0,4,28,20,4741.195
Venkatesh Iyer,10,10,0,303,104,30.3,203,149.26,1,1,25,16,4522.5776
Jos Buttler,10,10,0,297,79,29.7,214,138.78,0,3,32,10,4121.766
Suryakumar Yadav,10,10,0,293,66,29.3,167,175.44,0,3,34,12,5140.392
Ishan Kishan,10,10,0,293,75,29.3,214,136.91,0,2,34,11,4011.463
Shikhar Dhawan,7,7,2,292,99,58.4,196,148.97,0,2,38,9,8699.849
Shivam Dube,11,9,1,290,52,36.25,185,156.75,0,3,11,24,5682.1875
Nitish Rana,10,10,0,275,75,27.5,184,149.45,0,1,24,18,4109.875
Tilak Varma,9,9,3,274,84,45.67,173,158.38,0,1,21,18,7233.2144
K L Rahul,9,9,1,274,74,34.25,242,113.22,0,2,28,4,3877.7852
Cameron Green,10,10,3,272,67,38.86,181,150.27,0,2,24,11,5839.4927
Glenn Maxwell,10,10,1,262,77,29.11,144,181.94,0,3,14,23,5296.2734
Hardik Pandya,9,9,2,252,66,36.0,197,127.91,0,2,20,9,4604.7603
Ajinkya Rahane,9,7,1,245,71,40.83,135,181.48,0,2,19,12,7409.8286
Nicholas Pooran,10,10,1,245,62,27.22,149,164.42,0,1,18,17,4475.512
Sanju Samson,10,10,0,242,60,24.2,161,150.31,0,2,18,14,3637.502
Jitesh Sharma,10,10,1,239,49,26.56,144,165.97,0,0,18,16,4408.163
Axar Patel,10,9,2,238,54,34.0,178,133.7,0,1,18,12,4545.8
Marcus Stoinis,10,10,1,235,72,26.11,162,145.06,0,2,17,15,3787.5166
Simran Singh,10,10,0,219,60,21.9,144,152.08,0,1,21,13,3330.552
Shimron Hetmyer,10,10,4,212,56,35.33,145,146.2,0,1,7,16,5165.246
Devdutt Padikkal,9,9,1,206,52,25.75,166,124.09,0,1,25,3,3195.3174
Vijay Shankar,8,7,2,205,63,41.0,129,158.91,0,2,14,12,6515.31
Sam Cuan,10,9,2,192,55,27.43,134,143.28,0,1,14,10,3930.1704
