fullName,Matches,TotalMatches,Overs,RunsConceded,TotalWickets,AvgRate,AvgEconomyRate,StrRate,4w,5w,AvgWickets
Tushar Deshpande,11,11,38.2,396,19,20.84,10.33,12.1,0,0,1.7272727272727273
Mohammad Shami,10,10,39.0,274,18,15.22,7.02,13.0,1,0,1.8
Rashid Khan,10,10,40.0,322,18,17.88,8.05,13.33,0,0,1.8
Piyush Chawla,10,10,39.0,280,17,16.47,7.17,13.76,0,0,1.7
Arshdeep Singh,10,10,36.5,361,16,22.56,9.8,13.81,1,0,1.6
Ravindra Jadeja,11,11,39.0,288,15,19.2,7.38,15.6,0,0,1.3636363636363635
Mohammed Siraj,10,10,37.0,286,15,19.06,7.72,14.8,1,0,1.5
Varun Chakaravarthy,10,10,37.4,301,14,21.5,7.99,16.14,1,0,1.4
Ravichandran Ashwin,10,10,37.0,268,13,20.61,7.24,17.07,0,0,1.3
Yuzvendra Chahal,10,10,36.5,301,13,23.15,8.17,17.0,1,0,1.3
Ravi Bishnoi,10,9,34.3,268,12,22.33,7.76,17.25,0,0,1.3333333333333333
Harshal Patel,10,10,35.3,347,12,28.91,9.77,17.75,0,0,1.2
Mayank Markande,7,7,28.0,183,11,16.63,6.53,15.27,1,0,1.5714285714285714
Mark Wood,4,4,16.0,130,11,11.81,8.12,8.72,0,1,2.75
Noor Ahmad,6,6,21.2,150,10,15.0,7.03,12.8,0,0,1.6666666666666667
Matheesha Pathirana,7,7,27.2,208,10,20.8,7.6,16.4,0,0,1.4285714285714286
Trent Boult,8,8,31.0,262,10,26.2,8.45,18.6,0,0,1.25
Mitchell Marsh,7,6,16.1,131,9,14.55,8.1,10.77,1,0,1.5
Moeen Ali,10,9,18.0,148,9,16.44,8.22,12.0,1,0,1.0
Suyash Sharma,7,7,28.0,232,9,25.77,8.28,18.66,0,0,1.2857142857142858
Nathan Ellis,6,6,22.0,204,9,22.66,9.27,14.66,1,0,1.5
Mohit Sharma,7,7,18.5,130,8,16.25,6.9,14.12,0,0,1.1428571428571428
Kuldeep Yadav,10,10,35.0,246,8,30.75,7.02,26.25,0,0,0.8
Sandeep Sharma,8,8,30.0,234,8,29.25,7.8,22.5,0,0,1.0
Bhuvneshwar Kumar,9,9,31.0,247,8,30.87,7.96,23.25,0,0,0.8888888888888888
Karn Sharma,5,5,17.0,159,8,19.87,9.35,12.75,0,0,1.6
T Natarajan,8,8,29.0,275,8,34.37,9.48,21.75,0,0,1.0
Marco Jansen,6,6,19.0,184,8,23.0,9.68,14.25,0,0,1.3333333333333333
Jason Behrendorff,6,6,20.0,199,8,24.87,9.95,15.0,0,0,1.3333333333333333
Naveen-ul-Haq,5,4,16.0,98,7,14.0,6.12,13.71,0,0,1.75
Axar Patel,10,9,33.0,225,7,32.14,6.81,28.28,0,0,0.7777777777777778
Wanindu Hasaranga,7,7,25.0,205,7,29.28,8.2,21.42,0,0,1.0
Maheesh Theekshana,8,8,32.0,267,7,38.14,8.34,27.42,0,0,0.875
Sunil Narine,10,10,34.0,298,7,42.57,8.76,29.14,0,0,0.7
Alzai Joseph,5,5,19.0,168,7,24.0,8.84,16.28,0,0,1.4
Anrich Nortje,8,8,32.0,285,7,40.71,8.9,27.42,0,0,0.875
Sam Cuan,10,10,34.5,345,7,49.28,9.9,29.85,0,0,0.7
Riley Meredith,5,5,19.4,207,7,29.57,10.52,16.85,0,0,1.4
Andre Russell,10,7,13.1,141,7,20.14,10.7,11.28,0,0,1.0
Ishant Sharma,5,5,17.0,120,6,20.0,7.05,17.0,0,0,1.2
